"Date
 (dd-mm-yyyy)",Lake,Satellite Sensor,Bloom Extent (KM2),Bloom Extent (% of Lake Area),Bloom Intensity (µg/L),Bloom Severity (µg/L km2),"Valid Pixels
 (% of Lake Area)"
21/07/2006,Lake Erie,MERIS,191.43,0.72,37.16,7113.67,99.65
22/07/2006,Lake Erie,MERIS,191.25,0.72,37.18,7109.99,99.65
24/07/2006,Lake Erie,MERIS,201.33,0.75,37.6,7569.34,99.35
25/07/2006,Lake Erie,MERIS,193.59,0.73,34.06,6593,99.95
27/07/2006,Lake Erie,MERIS,193.32,0.72,34.04,6580.69,99.95
29/07/2006,Lake Erie,MERIS,163.98,0.61,29.08,4768.03,99.51
30/07/2006,Lake Erie,MERIS,151.11,0.57,29.11,4399.43,99.3
01/08/2006,Lake Erie,MERIS,151.11,0.57,29.11,4399.43,99.34
02/08/2006,Lake Erie,MERIS,150.21,0.56,29.16,4380.42,91.78
03/08/2006,Lake Erie,MERIS,149.58,0.56,29.22,4371.28,92.25
04/08/2006,Lake Erie,MERIS,118.62,0.44,30.26,3590,90.31
06/08/2006,Lake Erie,MERIS,163.17,0.61,38.86,6341.01,98.15
07/08/2006,Lake Erie,MERIS,156.42,0.59,37.7,5896.31,99.28
09/08/2006,Lake Erie,MERIS,153.36,0.57,42.49,6516.93,97.84
10/08/2006,Lake Erie,MERIS,153.18,0.57,38.48,5894.01,98.34
12/08/2006,Lake Erie,MERIS,153.18,0.57,38.48,5894.01,98.34
13/08/2006,Lake Erie,MERIS,201.87,0.76,38.1,7690.94,99.72
14/08/2006,Lake Erie,MERIS,201.87,0.76,38.1,7690.94,99.72
15/08/2006,Lake Erie,MERIS,216.9,0.81,38.68,8390.67,99.72
17/08/2006,Lake Erie,MERIS,244.17,0.92,35.72,8720.68,99.69
19/08/2006,Lake Erie,MERIS,239.49,0.9,36.2,8670.59,99.69
20/08/2006,Lake Erie,MERIS,303.48,1.14,31.91,9684.05,99.21
21/08/2006,Lake Erie,MERIS,338.22,1.27,31.89,10786.85,99.2
22/08/2006,Lake Erie,MERIS,585.45,2.19,29.62,17342.43,99.98
23/08/2006,Lake Erie,MERIS,584.82,2.19,29.64,17333.95,99.98
25/08/2006,Lake Erie,MERIS,710.64,2.66,30.44,21633.16,99.93
26/08/2006,Lake Erie,MERIS,668.25,2.5,28.31,18917.16,99.94
28/08/2006,Lake Erie,MERIS,638.37,2.39,28.93,18470.6,99.9
29/08/2006,Lake Erie,MERIS,685.53,2.57,30.56,20947.12,99.81
03/09/2006,Lake Erie,MERIS,673.11,2.52,30.59,20591.51,99.83
04/09/2006,Lake Erie,MERIS,672.75,2.52,30.59,20579.96,99.83
05/09/2006,Lake Erie,MERIS,60.39,0.23,23.04,1391.43,85.69
11/09/2006,Lake Erie,MERIS,130.68,0.49,33.56,4386.2,82.93
14/09/2006,Lake Erie,MERIS,130.77,0.49,33.55,4387.22,80.7
22/09/2006,Lake Erie,MERIS,127.98,0.48,32.52,4162.15,73.74
23/09/2006,Lake Erie,MERIS,127.98,0.48,32.52,4162.15,74.48
24/09/2006,Lake Erie,MERIS,131.04,0.49,32.13,4210.03,76.89
07/10/2006,Lake Erie,MERIS,4.05,0.02,15.1,61.15,12.04
10/10/2006,Lake Erie,MERIS,0.81,0,12.67,10.26,12.8
12/10/2006,Lake Erie,MERIS,240.3,0.9,13.63,3274.21,24.12
13/10/2006,Lake Erie,MERIS,281.97,1.06,13.35,3764.38,26.6
15/10/2006,Lake Erie,MERIS,521.1,1.95,17.71,9226.39,73.98
16/10/2006,Lake Erie,MERIS,512.46,1.92,17.76,9103.03,77.19
18/10/2006,Lake Erie,MERIS,512.46,1.92,17.76,9103.03,77.19
19/10/2006,Lake Erie,MERIS,512.46,1.92,17.76,9103.03,77.19
21/10/2006,Lake Erie,MERIS,512.46,1.92,17.76,9103.03,77.19
22/10/2006,Lake Erie,MERIS,511.65,1.92,17.77,9093.66,77.39
23/10/2006,Lake Erie,MERIS,511.65,1.92,17.77,9093.66,77.39
24/10/2006,Lake Erie,MERIS,527.49,1.98,17.2,9070.67,78.12
26/10/2006,Lake Erie,MERIS,447.12,1.68,18.74,8380.24,75.75
28/10/2006,Lake Erie,MERIS,419.76,1.57,18.24,7657.22,75.23
29/10/2006,Lake Erie,MERIS,221.85,0.83,16.64,3691.27,35.54
30/10/2006,Lake Erie,MERIS,239.76,0.9,16.42,3936.55,21.88
31/10/2006,Lake Erie,MERIS,239.76,0.9,16.42,3936.55,21.88
01/06/2007,Lake Erie,MERIS,1.62,0.01,13.69,22.18,1.01
02/06/2007,Lake Erie,MERIS,175.68,0.66,48.55,8529.46,99.86
04/06/2007,Lake Erie,MERIS,173.97,0.65,47.6,8281.23,99.88
05/06/2007,Lake Erie,MERIS,173.97,0.65,47.6,8281.23,99.88
07/06/2007,Lake Erie,MERIS,173.97,0.65,47.6,8281.23,99.88
09/06/2007,Lake Erie,MERIS,173.97,0.65,47.6,8281.23,99.88
10/06/2007,Lake Erie,MERIS,228.87,0.86,47.56,10885.65,99.93
12/06/2007,Lake Erie,MERIS,229.14,0.86,47.53,10890.13,99.93
13/06/2007,Lake Erie,MERIS,229.14,0.86,47.53,10890.13,99.93
14/06/2007,Lake Erie,MERIS,227.7,0.85,46.44,10574.07,99.95
15/06/2007,Lake Erie,MERIS,227.97,0.85,46.48,10594.91,99.95
17/06/2007,Lake Erie,MERIS,227.25,0.85,45.09,10246.2,99.96
18/06/2007,Lake Erie,MERIS,224.37,0.84,41.64,9342.88,99.96
20/06/2007,Lake Erie,MERIS,218.43,0.82,42.28,9235.13,99.98
21/06/2007,Lake Erie,MERIS,206.37,0.77,42.27,8724.27,99.98
23/06/2007,Lake Erie,MERIS,209.34,0.78,41.8,8749.66,99.99
24/06/2007,Lake Erie,MERIS,200.61,0.75,40.28,8081.29,99.99
26/06/2007,Lake Erie,MERIS,195.12,0.73,42.11,8215.98,99.99
27/06/2007,Lake Erie,MERIS,190.89,0.72,42.55,8121.59,99.99
28/06/2007,Lake Erie,MERIS,176.58,0.66,43.41,7665.9,99.99
30/06/2007,Lake Erie,MERIS,186.03,0.7,46.28,8609.84,99.99
01/07/2007,Lake Erie,MERIS,189.18,0.71,46.88,8868.29,99.99
02/07/2007,Lake Erie,MERIS,196.02,0.73,51.11,10018.39,99.99
03/07/2007,Lake Erie,MERIS,195.75,0.73,50.14,9814.45,99.99
04/07/2007,Lake Erie,MERIS,194.67,0.73,50.31,9793.89,99.99
06/07/2007,Lake Erie,MERIS,212.94,0.8,50.08,10663.59,99.98
07/07/2007,Lake Erie,MERIS,239.67,0.9,47.09,11286.66,99.98
09/07/2007,Lake Erie,MERIS,213.3,0.8,49.57,10574.18,99.99
10/07/2007,Lake Erie,MERIS,226.17,0.85,45.99,10401.87,100
12/07/2007,Lake Erie,MERIS,242.55,0.91,44.26,10735.48,100
14/07/2007,Lake Erie,MERIS,238.68,0.89,42.37,10113.35,100
15/07/2007,Lake Erie,MERIS,237.15,0.89,41.45,9830.89,100
17/07/2007,Lake Erie,MERIS,236.34,0.89,41.95,9914.23,100
18/07/2007,Lake Erie,MERIS,236.34,0.89,41.95,9914.23,100
19/07/2007,Lake Erie,MERIS,234.63,0.88,42.15,9889.44,100
20/07/2007,Lake Erie,MERIS,225.99,0.85,41.49,9375.76,100
22/07/2007,Lake Erie,MERIS,213.12,0.8,43.32,9232.74,99.99
23/07/2007,Lake Erie,MERIS,240.12,0.9,40.58,9744,99.98
25/07/2007,Lake Erie,MERIS,276.3,1.04,40.45,11176.64,99.84
26/07/2007,Lake Erie,MERIS,264.51,0.99,41.32,10930.56,99.9
28/07/2007,Lake Erie,MERIS,264.51,0.99,41.32,10930.56,99.9
29/07/2007,Lake Erie,MERIS,233.91,0.88,48.85,11427.44,99.71
30/07/2007,Lake Erie,MERIS,233.91,0.88,48.85,11427.44,99.71
31/07/2007,Lake Erie,MERIS,227.34,0.85,53.12,12075.48,99.97
02/08/2007,Lake Erie,MERIS,230.4,0.86,52.57,12113,99.97
04/08/2007,Lake Erie,MERIS,246.69,0.92,45.37,11193.46,99.99
05/08/2007,Lake Erie,MERIS,229.41,0.86,45.76,10498.83,99.98
06/08/2007,Lake Erie,MERIS,237.78,0.89,45.01,10703.02,99.98
07/08/2007,Lake Erie,MERIS,237.78,0.89,45.01,10703.02,99.98
08/08/2007,Lake Erie,MERIS,234.81,0.88,45.34,10647.01,99.99
10/08/2007,Lake Erie,MERIS,232.74,0.87,44.19,10283.8,99.99
11/08/2007,Lake Erie,MERIS,249.75,0.94,40.54,10123.84,99.99
13/08/2007,Lake Erie,MERIS,258.66,0.97,39.86,10310.11,99.99
14/08/2007,Lake Erie,MERIS,274.32,1.03,34.39,9434.5,99.98
16/08/2007,Lake Erie,MERIS,274.32,1.03,34.39,9434.5,99.98
18/08/2007,Lake Erie,MERIS,275.67,1.03,35.69,9837.64,99.96
19/08/2007,Lake Erie,MERIS,277.11,1.04,35.58,9859.91,99.96
21/08/2007,Lake Erie,MERIS,277.11,1.04,35.58,9859.91,99.96
22/08/2007,Lake Erie,MERIS,277.02,1.04,35.58,9857.37,99.95
23/08/2007,Lake Erie,MERIS,238.77,0.89,34.3,8189.12,99.96
24/08/2007,Lake Erie,MERIS,245.43,0.92,31.03,7615.37,99.92
27/08/2007,Lake Erie,MERIS,184.23,0.69,21.7,3998.55,96.6
29/08/2007,Lake Erie,MERIS,201.24,0.75,21.24,4275.16,96.46
30/08/2007,Lake Erie,MERIS,252.54,0.95,20,5050.32,98.94
02/09/2007,Lake Erie,MERIS,387.9,1.45,21.93,8508.2,99.54
03/09/2007,Lake Erie,MERIS,387.9,1.45,21.93,8508.2,99.54
05/09/2007,Lake Erie,MERIS,494.73,1.85,21.46,10619.03,99.9
07/09/2007,Lake Erie,MERIS,629.37,2.36,22.05,13876.6,99.82
08/09/2007,Lake Erie,MERIS,621.81,2.33,22.08,13731.93,99.83
10/09/2007,Lake Erie,MERIS,621.63,2.33,22.16,13773.83,99.83
11/09/2007,Lake Erie,MERIS,580.59,2.18,22.41,13012.42,99.84
12/09/2007,Lake Erie,MERIS,580.59,2.18,22.4,13006.9,99.85
15/09/2007,Lake Erie,MERIS,625.59,2.34,22.45,14046.94,99.86
17/09/2007,Lake Erie,MERIS,548.91,2.06,23.81,13071.36,99.92
18/09/2007,Lake Erie,MERIS,499.32,1.87,24.87,12417.74,99.93
20/09/2007,Lake Erie,MERIS,474.75,1.78,25.55,12131.43,99.8
21/09/2007,Lake Erie,MERIS,409.23,1.53,25.96,10623.12,99.93
22/09/2007,Lake Erie,MERIS,415.26,1.56,25.83,10728.16,99.93
23/09/2007,Lake Erie,MERIS,443.16,1.66,25.45,11279.62,99.94
28/09/2007,Lake Erie,MERIS,444.87,1.67,25.46,11325.77,99.94
30/09/2007,Lake Erie,MERIS,429.66,1.61,25.04,10758.73,99.97
01/10/2007,Lake Erie,MERIS,373.59,1.4,25.87,9666.23,99.97
03/10/2007,Lake Erie,MERIS,350.28,1.31,26.16,9161.92,99.96
04/10/2007,Lake Erie,MERIS,290.79,1.09,27.17,7901.06,99.96
07/10/2007,Lake Erie,MERIS,326.61,1.22,21.77,7109.16,99.97
08/10/2007,Lake Erie,MERIS,326.61,1.22,21.77,7109.16,99.97
09/10/2007,Lake Erie,MERIS,350.01,1.31,22.59,7907.53,99.97
11/10/2007,Lake Erie,MERIS,350.01,1.31,22.59,7907.53,99.97
12/10/2007,Lake Erie,MERIS,391.95,1.47,21.55,8447.15,99.97
13/10/2007,Lake Erie,MERIS,335.52,1.26,22.71,7620.36,99.98
14/10/2007,Lake Erie,MERIS,411.84,1.54,20.85,8587.32,99.95
15/10/2007,Lake Erie,MERIS,638.01,2.39,17.96,11461.34,99.94
16/10/2007,Lake Erie,MERIS,628.11,2.35,18.04,11330.6,99.94
17/10/2007,Lake Erie,MERIS,594.45,2.23,18.28,10868.69,99.94
19/10/2007,Lake Erie,MERIS,554.94,2.08,18,9988.48,99.6
20/10/2007,Lake Erie,MERIS,462.96,1.74,18.69,8653.6,99.8
22/10/2007,Lake Erie,MERIS,310.86,1.17,23.2,7210.8,99.74
23/10/2007,Lake Erie,MERIS,290.79,1.09,21.21,6167.69,99.67
25/10/2007,Lake Erie,MERIS,307.44,1.15,20.29,6238.14,99.75
26/10/2007,Lake Erie,MERIS,306.36,1.15,20.1,6159.34,99.74
28/10/2007,Lake Erie,MERIS,323.91,1.21,21.44,6944.21,99.27
30/10/2007,Lake Erie,MERIS,330.12,1.24,21.27,7021.98,98.52
31/10/2007,Lake Erie,MERIS,336.15,1.26,21.14,7106.08,98.47
01/06/2008,Lake Erie,MERIS,434.43,1.63,29.61,12864.43,99.82
02/06/2008,Lake Erie,MERIS,446.22,1.67,29.62,13219,99.84
04/06/2008,Lake Erie,MERIS,409.68,1.54,30.19,12367.26,99.84
05/06/2008,Lake Erie,MERIS,358.65,1.34,31.9,11439.18,99.87
07/06/2008,Lake Erie,MERIS,392.22,1.47,32.17,12618.23,99.84
08/06/2008,Lake Erie,MERIS,266.04,1,39.05,10389.5,99.93
09/06/2008,Lake Erie,MERIS,286.38,1.07,40.65,11642.38,99.87
10/06/2008,Lake Erie,MERIS,267.03,1,42.12,11246,99.94
11/06/2008,Lake Erie,MERIS,240.03,0.9,44.17,10601.29,99.96
12/06/2008,Lake Erie,MERIS,230.49,0.86,45.09,10392.7,99.95
13/06/2008,Lake Erie,MERIS,230.31,0.86,45.12,10390.8,99.96
14/06/2008,Lake Erie,MERIS,231.93,0.87,45,10437.34,99.96
15/06/2008,Lake Erie,MERIS,203.49,0.76,44.4,9035.16,99.92
16/06/2008,Lake Erie,MERIS,169.02,0.63,46.31,7827.08,99.87
17/06/2008,Lake Erie,MERIS,169.92,0.64,46.53,7906.33,99.88
20/06/2008,Lake Erie,MERIS,174.6,0.65,46.8,8171.05,99.89
21/06/2008,Lake Erie,MERIS,177.3,0.66,44.98,7974.79,99.92
23/06/2008,Lake Erie,MERIS,172.08,0.64,45.85,7890.07,99.89
24/06/2008,Lake Erie,MERIS,182.34,0.68,41.58,7580.97,99.96
26/06/2008,Lake Erie,MERIS,175.05,0.66,41.46,7257.73,99.96
27/06/2008,Lake Erie,MERIS,176.04,0.66,41.18,7249.56,99.98
28/06/2008,Lake Erie,MERIS,167.13,0.63,40.68,6798.58,99.97
29/06/2008,Lake Erie,MERIS,167.49,0.63,40.62,6803.68,99.97
30/06/2008,Lake Erie,MERIS,167.49,0.63,40.62,6803.68,99.97
01/07/2008,Lake Erie,MERIS,167.49,0.63,40.09,6713.94,99.96
02/07/2008,Lake Erie,MERIS,167.49,0.63,40.09,6713.94,99.96
03/07/2008,Lake Erie,MERIS,167.49,0.63,40.09,6713.94,99.96
04/07/2008,Lake Erie,MERIS,167.13,0.63,38.37,6412.88,99.97
06/07/2008,Lake Erie,MERIS,169.11,0.63,43.63,7378.68,99.97
07/07/2008,Lake Erie,MERIS,172.17,0.65,41.89,7212.01,99.97
09/07/2008,Lake Erie,MERIS,165.87,0.62,47.9,7945.92,99.85
10/07/2008,Lake Erie,MERIS,199.26,0.75,44.53,8873.01,99.91
12/07/2008,Lake Erie,MERIS,253.08,0.95,40.56,10264.87,99.76
13/07/2008,Lake Erie,MERIS,186.84,0.7,36.74,6865.12,100
14/07/2008,Lake Erie,MERIS,186.84,0.7,36.74,6865.12,100
15/07/2008,Lake Erie,MERIS,187.83,0.7,41.5,7794.23,100
16/07/2008,Lake Erie,MERIS,191.34,0.72,42.4,8113.28,100
17/07/2008,Lake Erie,MERIS,191.25,0.72,42.42,8111.89,100
18/07/2008,Lake Erie,MERIS,185.13,0.69,43.36,8026.96,100
19/07/2008,Lake Erie,MERIS,185.13,0.69,43.36,8026.96,100
20/07/2008,Lake Erie,MERIS,176.13,0.66,42.64,7510.5,100
21/07/2008,Lake Erie,MERIS,178.02,0.67,43.18,7687.76,100
22/07/2008,Lake Erie,MERIS,176.13,0.66,43.84,7721.96,100
23/07/2008,Lake Erie,MERIS,181.62,0.68,42.02,7631.62,100
25/07/2008,Lake Erie,MERIS,173.97,0.65,39.65,6898.64,100
26/07/2008,Lake Erie,MERIS,170.91,0.64,39.45,6742.95,100
28/07/2008,Lake Erie,MERIS,177.75,0.67,48.97,8704.65,99.99
29/07/2008,Lake Erie,MERIS,173.52,0.65,44.53,7726.05,100
31/07/2008,Lake Erie,MERIS,169.56,0.64,42.42,7192.9,100
01/08/2008,Lake Erie,MERIS,178.29,0.67,40.45,7211.12,100
02/08/2008,Lake Erie,MERIS,179.91,0.67,40.22,7235.85,100
03/08/2008,Lake Erie,MERIS,181.26,0.68,40.67,7372.21,100
04/08/2008,Lake Erie,MERIS,180.99,0.68,40.68,7363.04,100
05/08/2008,Lake Erie,MERIS,178.83,0.67,39.99,7150.73,100
06/08/2008,Lake Erie,MERIS,179.28,0.67,39.92,7157.45,100
08/08/2008,Lake Erie,MERIS,176.94,0.66,40.31,7132.77,100
10/08/2008,Lake Erie,MERIS,184.86,0.69,41.42,7656.42,100
11/08/2008,Lake Erie,MERIS,187.2,0.7,38.33,7174.65,100
13/08/2008,Lake Erie,MERIS,191.25,0.72,37.85,7237.88,99.98
14/08/2008,Lake Erie,MERIS,196.74,0.74,35.13,6910.53,99.99
16/08/2008,Lake Erie,MERIS,262.89,0.99,31.69,8331.3,99.96
17/08/2008,Lake Erie,MERIS,236.97,0.89,29.97,7102.63,99.97
18/08/2008,Lake Erie,MERIS,235.98,0.88,30.05,7091.22,99.97
19/08/2008,Lake Erie,MERIS,242.28,0.91,29.66,7185.73,99.97
20/08/2008,Lake Erie,MERIS,276.3,1.04,29.32,8101.09,99.97
21/08/2008,Lake Erie,MERIS,276.3,1.04,29.32,8101.09,99.97
22/08/2008,Lake Erie,MERIS,275.49,1.03,29.37,8090.31,99.97
23/08/2008,Lake Erie,MERIS,279.9,1.05,27.35,7654.09,99.99
24/08/2008,Lake Erie,MERIS,292.05,1.09,24.97,7291.38,99.99
25/08/2008,Lake Erie,MERIS,335.25,1.26,25.55,8565.3,99.98
26/08/2008,Lake Erie,MERIS,348.39,1.31,26.01,9062.49,99.98
27/08/2008,Lake Erie,MERIS,348.39,1.31,26.03,9069.39,99.98
29/08/2008,Lake Erie,MERIS,453.51,1.7,24,10882.29,99.96
30/08/2008,Lake Erie,MERIS,599.4,2.25,23.14,13872.57,99.85
01/09/2008,Lake Erie,MERIS,931.32,3.49,23.33,21723.04,99.39
02/09/2008,Lake Erie,MERIS,1323.09,4.96,31.55,41740.58,99.86
04/09/2008,Lake Erie,MERIS,1256.4,4.71,34.06,42790.6,99.86
05/09/2008,Lake Erie,MERIS,1256.76,4.71,34.05,42793.56,99.86
06/09/2008,Lake Erie,MERIS,1426.32,5.35,37.65,53695.1,99.74
07/09/2008,Lake Erie,MERIS,1370.34,5.14,37.84,51854.62,99.79
08/09/2008,Lake Erie,MERIS,1397.43,5.24,36.77,51385.46,99.86
09/09/2008,Lake Erie,MERIS,1397.97,5.24,37.11,51871.68,99.86
10/09/2008,Lake Erie,MERIS,1399.59,5.25,37.09,51910.51,99.86
11/09/2008,Lake Erie,MERIS,1551.33,5.81,38.04,59009.8,99.96
12/09/2008,Lake Erie,MERIS,1573.29,5.9,38.04,59841.66,99.94
14/09/2008,Lake Erie,MERIS,1490.31,5.59,39.45,58792.88,99.94
15/09/2008,Lake Erie,MERIS,1503.45,5.63,39.08,58748.81,99.89
17/09/2008,Lake Erie,MERIS,1379.61,5.17,34.15,47109.96,99.79
18/09/2008,Lake Erie,MERIS,1431.81,5.37,33.5,47962.77,99.79
20/09/2008,Lake Erie,MERIS,1429.02,5.36,33.39,47712.69,99.84
21/09/2008,Lake Erie,MERIS,1345.14,5.04,33.37,44885.04,99.83
22/09/2008,Lake Erie,MERIS,1191.87,4.47,35.78,42648.45,99.55
23/09/2008,Lake Erie,MERIS,1164.42,4.36,35.65,41517.05,99.59
24/09/2008,Lake Erie,MERIS,1161.63,4.35,35.14,40815.15,99.66
25/09/2008,Lake Erie,MERIS,675.9,2.53,24.38,16481.48,99.01
27/09/2008,Lake Erie,MERIS,675.9,2.53,24.38,16481.48,99.01
28/09/2008,Lake Erie,MERIS,680.67,2.55,24.73,16833.38,98.98
29/09/2008,Lake Erie,MERIS,686.61,2.57,24.68,16946.36,98.97
30/09/2008,Lake Erie,MERIS,679.05,2.54,24.74,16800.1,99.05
01/10/2008,Lake Erie,MERIS,577.89,2.17,23.47,13565.79,98.55
03/10/2008,Lake Erie,MERIS,712.71,2.67,22.43,15987.3,99.16
04/10/2008,Lake Erie,MERIS,642.87,2.41,22.83,14677.3,99.09
06/10/2008,Lake Erie,MERIS,794.25,2.98,22.69,18023.36,98.96
07/10/2008,Lake Erie,MERIS,729.09,2.73,22.82,16640.68,99.06
09/10/2008,Lake Erie,MERIS,669.24,2.51,22.7,15193.69,99.44
10/10/2008,Lake Erie,MERIS,670.95,2.51,22.67,15211.11,99.44
11/10/2008,Lake Erie,MERIS,670.95,2.51,22.67,15211.11,99.44
12/10/2008,Lake Erie,MERIS,640.98,2.4,23.09,14800.74,99.66
13/10/2008,Lake Erie,MERIS,606.87,2.27,23.46,14239.78,99.68
14/10/2008,Lake Erie,MERIS,619.11,2.32,23.37,14470.89,99.67
15/10/2008,Lake Erie,MERIS,622.08,2.33,23.35,14525.32,99.67
16/10/2008,Lake Erie,MERIS,602.46,2.26,23.31,14045.45,99.67
17/10/2008,Lake Erie,MERIS,514.26,1.93,22.86,11756.14,99.57
19/10/2008,Lake Erie,MERIS,455.58,1.71,23.51,10711.05,99.84
20/10/2008,Lake Erie,MERIS,460.35,1.73,23.23,10693.06,99.84
22/10/2008,Lake Erie,MERIS,443.52,1.66,23.86,10581.28,99.54
23/10/2008,Lake Erie,MERIS,498.69,1.87,21.85,10895.18,99.51
25/10/2008,Lake Erie,MERIS,488.25,1.83,21.96,10719.87,99.53
26/10/2008,Lake Erie,MERIS,495.27,1.86,20.59,10197.11,99.23
27/10/2008,Lake Erie,MERIS,546.3,2.05,20.03,10944.52,99.16
28/10/2008,Lake Erie,MERIS,545.49,2.04,19.89,10847.72,99.08
29/10/2008,Lake Erie,MERIS,550.26,2.06,19.82,10907.64,99.25
30/10/2008,Lake Erie,MERIS,550.71,2.06,19.87,10940.96,99.05
31/10/2008,Lake Erie,MERIS,489.96,1.84,20.57,10076.81,98.95
02/06/2009,Lake Erie,MERIS,2.43,0.01,11.79,28.65,15.85
03/06/2009,Lake Erie,MERIS,1.71,0.01,11.97,20.47,16.54
05/06/2009,Lake Erie,MERIS,167.31,0.63,59.93,10026.57,97.9
06/06/2009,Lake Erie,MERIS,200.88,0.75,44.72,8983.8,99.85
08/06/2009,Lake Erie,MERIS,200.88,0.75,44.72,8983.8,99.85
09/06/2009,Lake Erie,MERIS,200.88,0.75,44.72,8983.8,99.85
11/06/2009,Lake Erie,MERIS,200.88,0.75,44.72,8983.8,99.85
12/06/2009,Lake Erie,MERIS,195.21,0.73,46.91,9156.81,99.89
13/06/2009,Lake Erie,MERIS,195.21,0.73,46.91,9156.81,99.89
14/06/2009,Lake Erie,MERIS,186.48,0.7,48.33,9011.8,99.96
15/06/2009,Lake Erie,MERIS,184.86,0.69,50,9242.08,99.96
16/06/2009,Lake Erie,MERIS,186.03,0.7,49.76,9257.22,99.96
17/06/2009,Lake Erie,MERIS,186.84,0.7,49.6,9267.49,99.96
18/06/2009,Lake Erie,MERIS,186.84,0.7,49.6,9267.49,99.96
19/06/2009,Lake Erie,MERIS,184.23,0.69,47.93,8830.37,99.96
21/06/2009,Lake Erie,MERIS,182.25,0.68,53.99,9839.26,99.93
24/06/2009,Lake Erie,MERIS,177.93,0.67,51.79,9215.78,99.94
25/06/2009,Lake Erie,MERIS,178.11,0.67,50.33,8964.51,99.98
27/06/2009,Lake Erie,MERIS,175.05,0.66,50.35,8813.19,99.98
29/06/2009,Lake Erie,MERIS,180.54,0.68,47.16,8513.49,99.95
30/06/2009,Lake Erie,MERIS,179.82,0.67,47.3,8504.73,99.95
01/07/2009,Lake Erie,MERIS,180.09,0.67,47.27,8513,99.96
02/07/2009,Lake Erie,MERIS,180.09,0.67,47.27,8513,99.96
03/07/2009,Lake Erie,MERIS,179.55,0.67,47.46,8521.77,99.96
04/07/2009,Lake Erie,MERIS,181.44,0.68,47.1,8546.4,99.98
05/07/2009,Lake Erie,MERIS,198.63,0.74,39.93,7931,99.96
06/07/2009,Lake Erie,MERIS,198.63,0.74,39.93,7931,99.96
07/07/2009,Lake Erie,MERIS,198.27,0.74,45.72,9064.45,99.99
08/07/2009,Lake Erie,MERIS,216.36,0.81,46.44,10048.1,99.98
10/07/2009,Lake Erie,MERIS,217.35,0.81,49.51,10761.15,99.99
11/07/2009,Lake Erie,MERIS,222.12,0.83,50.18,11145.87,99.94
13/07/2009,Lake Erie,MERIS,264.33,0.99,44.85,11855.33,99.98
14/07/2009,Lake Erie,MERIS,273.42,1.02,42.51,11624.12,99.99
16/07/2009,Lake Erie,MERIS,264.87,0.99,42.38,11225.51,99.99
17/07/2009,Lake Erie,MERIS,267.48,1,42.29,11312.59,99.99
18/07/2009,Lake Erie,MERIS,269.73,1.01,42.11,11358.17,99.99
19/07/2009,Lake Erie,MERIS,269.46,1.01,41.59,11205.66,100
01/08/2009,Lake Erie,MERIS,162.9,0.61,31.69,5161.98,83.65
02/08/2009,Lake Erie,MERIS,101.34,0.38,32.76,3319.96,79.38
04/08/2009,Lake Erie,MERIS,111.96,0.42,31.2,3493.06,83.19
05/08/2009,Lake Erie,MERIS,111.96,0.42,31.2,3493.06,83.19
06/08/2009,Lake Erie,MERIS,111.96,0.42,31.2,3493.06,85.57
07/08/2009,Lake Erie,MERIS,217.98,0.82,30.02,6544.15,89.04
08/08/2009,Lake Erie,MERIS,217.98,0.82,30.02,6544.15,89.04
09/08/2009,Lake Erie,MERIS,215.55,0.81,30.2,6509.87,92.25
10/08/2009,Lake Erie,MERIS,215.55,0.81,30.2,6509.87,92.25
11/08/2009,Lake Erie,MERIS,378.36,1.42,28.37,10735.47,97.23
12/08/2009,Lake Erie,MERIS,378.99,1.42,28.34,10742.17,97.79
14/08/2009,Lake Erie,MERIS,580.05,2.17,25.61,14854.5,100
15/08/2009,Lake Erie,MERIS,451.35,1.69,26.27,11859.13,100
17/08/2009,Lake Erie,MERIS,392.13,1.47,26.41,10356.27,100
18/08/2009,Lake Erie,MERIS,414.09,1.55,25.45,10539.58,100
20/08/2009,Lake Erie,MERIS,411.39,1.54,25.09,10322.31,100
21/08/2009,Lake Erie,MERIS,427.5,1.6,24.99,10684.21,100
22/08/2009,Lake Erie,MERIS,427.5,1.6,24.99,10684.21,100
23/08/2009,Lake Erie,MERIS,420.12,1.57,24.9,10460.57,100
24/08/2009,Lake Erie,MERIS,551.88,2.07,22.63,12491.53,100
25/08/2009,Lake Erie,MERIS,470.25,1.76,24.16,11359.78,100
26/08/2009,Lake Erie,MERIS,470.07,1.76,24.16,11359.19,100
27/08/2009,Lake Erie,MERIS,469.98,1.76,24.17,11357.25,100
28/08/2009,Lake Erie,MERIS,338.31,1.27,25.3,8557.62,99.84
30/08/2009,Lake Erie,MERIS,415.08,1.56,26.05,10813.91,99.61
31/08/2009,Lake Erie,MERIS,446.04,1.67,25,11151.45,99.43
02/09/2009,Lake Erie,MERIS,717.93,2.69,23.37,16781.18,99.94
03/09/2009,Lake Erie,MERIS,863.37,3.24,22.15,19122.35,99.94
05/09/2009,Lake Erie,MERIS,1391.31,5.21,20.59,28642.34,99.96
07/09/2009,Lake Erie,MERIS,1625.13,6.09,19.63,31904.71,99.9
08/09/2009,Lake Erie,MERIS,1614.78,6.05,19.61,31671.49,99.9
09/09/2009,Lake Erie,MERIS,1315.8,4.93,19.49,25646.13,99.93
